"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1402","Check displaying of empty courses list","tests.courses","2026-07-23","passed","2026-07-23","TestCourses","test_courses","",""
"","1196","Navigate from login page to registration page","Authorization","2026-07-23","passed","2026-07-23","Authentication","LMS system","",""
"","2632","Create course","tests.courses","2026-07-23","passed","2026-07-23","TestCourses","test_courses","",""
"","1646","Registration with correct email, username and password","tests.authentication","2026-07-23","passed","2026-07-23","TestRegistration","test_registration","",""
"","1556","Check displaying of dashboard page","tests.dashboard","2026-07-23","passed","2026-07-23","TestDashboard","test_dashboard","",""
"","2331","Edit course","tests.courses","2026-07-23","passed","2026-07-23","TestCourses","test_courses","",""
"","1731","User login with wrong email or password","Authorization","2026-07-23","passed","2026-07-23","Authentication","LMS system","",""
"","1486","User login with wrong email or password","Authorization","2026-07-23","passed","2026-07-23","Authentication","LMS system","",""
"","1805","User login with wrong email or password","Authorization","2026-07-23","passed","2026-07-23","Authentication","LMS system","",""
"","3363","User login with correct email and password","Authorization","2026-07-23","passed","2026-07-23","Authentication","LMS system","",""
